DateTime,PairID,PairName,Open,High,Low,Close,Volume,Spread,Return,SMA20,SMA50,EMA20,EMA50,RSI,MACD,MACDSignal,BBUpper,BBLower,Signal
2023-01-01 00:00:00,1,EUR/USD,1.08103,1.08103,1.08019,1.08054,2651,0.9,,,,1.08054,1.08054,,,,,,SELL
2023-01-01 01:00:00,1,EUR/USD,1.0801,1.08043,1.07974,1.08028,2292,1.0,-0.0002406204305256,,,1.0804035,1.0804074,,,,,,SELL
2023-01-01 02:00:00,1,EUR/USD,1.08036,1.08158,1.07961,1.08054,1796,1.2,0.000240678342652,,,1.080453621981682,1.0804533795493934,,,,,,SELL
2023-01-01 03:00:00,1,EUR/USD,1.08068,1.08126,1.07973,1.08088,4019,1.4,0.0003146574860717,,,1.080576710723192,1.0805665175529788,,,,,,SELL
2023-01-01 04:00:00,1,EUR/USD,1.08042,1.08042,1.07967,1.0803,2207,1.6,-0.0005365998075642,,,1.080509776754009,1.0805088662417628,,,,,,SELL
2023-01-01 05:00:00,1,EUR/USD,1.07981,1.08053,1.07981,1.07998,2972,1.9,-0.0002962140146256,,,1.0803980180577395,1.0804116773316943,,,,,,SELL
2023-01-01 06:00:00,1,EUR/USD,1.08023,1.08153,1.08023,1.08087,1534,2.0,0.0008240893349877,,,1.0804872581606135,1.0804852652298529,,,,,,SELL
2023-01-01 07:00:00,1,EUR/USD,1.08075,1.0812,1.08061,1.08108,1350,1.1,0.0001942879347192,,,1.0805897165659548,1.0805704221085266,,,,,,SELL
2023-01-01 08:00:00,1,EUR/USD,1.08001,1.08116,1.08001,1.08058,3505,0.9,-0.0004625004625004,,,1.080588157981264,1.080571664359827,,,,,,SELL
2023-01-01 09:00:00,1,EUR/USD,1.08046,1.08048,1.07969,1.08017,4348,0.9,-0.0003794258638879,,,1.0805251870125552,1.080523891254241,,,,,,SELL
2023-01-01 10:00:00,1,EUR/USD,1.07958,1.07958,1.07908,1.07926,2345,1.2,-0.0008424599831508,,,1.0803446539035952,1.0803846660516443,,,,,,SELL
2023-01-01 11:00:00,1,EUR/USD,1.07933,1.0797,1.07858,1.07906,3457,1.4,-0.0001853121583308,,,1.0801696478728524,1.0802484120424782,,,,,,SELL
2023-01-01 12:00:00,1,EUR/USD,1.07995,1.07995,1.07926,1.07945,2928,1.4,0.0003614256853188,,,1.0800754718517898,1.080171201982241,,,,,,SELL
2023-01-01 13:00:00,1,EUR/USD,1.08068,1.08136,1.08068,1.08114,5020,1.4,0.001565612117282,,,1.0802099880309988,1.080259795971994,58.40003988657556,,,,,SELL
2023-01-01 14:00:00,1,EUR/USD,1.08073,1.0811,1.0801,1.0809,1989,1.9,-0.0002219879016593,,,1.080294547653261,1.0803154348115875,55.59681817834456,,,,,SELL
2023-01-01 15:00:00,1,EUR/USD,1.08044,1.08063,1.07973,1.08036,3488,1.0,-0.0004995836802664,,,1.0803023554794249,1.0803191315750105,49.80416927993786,,,,,SELL
2023-01-01 16:00:00,1,EUR/USD,1.08036,1.08099,1.08009,1.08047,2450,1.8,0.0001018179125478,,,1.080321884128649,1.080331121971652,50.92583588045415,,,,,SELL
2023-01-01 17:00:00,1,EUR/USD,1.07876,1.08032,1.0787,1.07888,2579,1.2,-0.0014715818116189,,,1.0801574162899392,1.0802202562872014,37.78316573658506,,,,,SELL
2023-01-01 18:00:00,1,EUR/USD,1.07877,1.07893,1.07769,1.07871,3390,2.0,-0.0001575708141776,,,1.0799953682157035,1.0801090093797237,36.692822967097975,,,,,SELL
2023-01-01 19:00:00,1,EUR/USD,1.07828,1.07864,1.07773,1.07863,1814,0.8,-7.416265724813353e-05,1.080104,,1.0798450196117186,1.0800036918391105,36.1639320626955,,,1.081690687114714,1.078517312885286,SELL
2023-01-01 20:00:00,1,EUR/USD,1.07879,1.08002,1.07859,1.07869,2929,2.0,5.5626118316665085e-05,1.0800115,,1.0797196982051214,1.0799130462342152,36.89856459733268,,,1.0816982753258806,1.0783247246741192,SELL
2023-01-01 21:00:00,1,EUR/USD,1.07718,1.07785,1.07681,1.07743,4387,1.7,-0.0011680835087002,1.079869,,1.079474514405521,1.0797466699177656,29.27852536648628,,,1.0818894939990014,1.0778485060009986,HOLD
2023-01-01 22:00:00,1,EUR/USD,1.07965,1.0797,1.07863,1.07895,1816,0.8,0.0014107645044225,1.0797895,,1.0794190061294449,1.0796947324163737,44.238745863434175,,,1.081823210648052,1.0777557893519478,SELL
2023-01-01 23:00:00,1,EUR/USD,1.07834,1.07925,1.07786,1.07833,2483,1.1,-0.0005746327447982,1.079662,,1.0793049665213674,1.0796080138123891,40.47748866704304,,,1.0817257693669595,1.0775982306330405,SELL
2023-01-02 00:00:00,1,EUR/USD,1.07769,1.07769,1.07669,1.07719,2014,1.9,-0.0010571902849776,1.0795065,,1.0790855694679389,1.0794580159820832,34.644830653555275,,,1.0818093614808535,1.077203638519146,SELL
2023-01-02 01:00:00,1,EUR/USD,1.07718,1.07718,1.07654,1.07684,3878,1.5,-0.0003249194663894,1.0793495,,1.0788545870013926,1.079299234367003,33.069303551230846,-0.0007585502858773,,1.081914997807444,1.076784002192556,SELL
2023-01-02 02:00:00,1,EUR/USD,1.07536,1.07536,1.07497,1.07511,1606,1.7,-0.001606552505479,1.0790615,,1.0784723275495187,1.0790504905425862,26.62423769244728,-0.000970199049143,,1.082124552562396,1.075998447437604,HOLD
2023-01-02 03:00:00,1,EUR/USD,1.07376,1.07402,1.07304,1.07369,4553,0.8,-0.0013207950814334,1.0786919999999998,,1.077987451246664,1.078738491423043,22.71154365279797,-0.0012382406836199,,1.0824057452793645,1.0749782547206352,HOLD
2023-01-02 04:00:00,1,EUR/USD,1.07416,1.07439,1.073,1.07401,1643,1.7,0.0002980376086205,1.0783635,,1.0775866460872672,1.0784684051792712,25.37312817097792,-0.0014086067427274,,1.0824904323958606,1.0742365676041394,HOLD
2023-01-02 05:00:00,1,EUR/USD,1.07496,1.07511,1.0741,1.07471,5620,1.8,0.0006517630189664,1.0780904999999998,,1.0772983629098851,1.0782575049895733,30.97299147570017,-0.0014701914700312,,1.0824206707818518,1.073760329218148,SELL
2023-01-02 06:00:00,1,EUR/USD,1.07535,1.07661,1.07535,1.07559,1910,2.0,0.0008188255436349,1.0779070000000002,,1.0771280071174425,1.0781103073087912,37.33875529229784,-0.0014314878635595,,1.0823333578707564,1.073480642129244,SELL
2023-01-02 07:00:00,1,EUR/USD,1.07511,1.07519,1.07459,1.07472,3900,1.4,-0.0008088583939978,1.07769,,1.0768889547958909,1.077926164154828,34.00037057731379,-0.0014542529825509,,1.082291065094085,1.0730889349059152,SELL
2023-01-02 08:00:00,1,EUR/USD,1.07416,1.07589,1.0741,1.07443,1745,1.9,-0.0002698377251748,1.077439,,1.076645825925347,1.0777390959544808,32.94305684892427,-0.0014786501215608,,1.08217437707052,1.07270362292948,SELL
2023-01-02 09:00:00,1,EUR/USD,1.07481,1.07502,1.07455,1.07495,4396,1.3,0.0004839775508875,1.0771295,,1.0764787589208875,1.0775919633132804,36.74169396814203,-0.0014394324940438,-0.0013028279845796,1.081661627425394,1.072597372574606,SELL
2023-01-02 10:00:00,1,EUR/USD,1.07407,1.07493,1.07407,1.07447,3250,1.5,-0.0004465323968556,1.076808,,1.0762815095048228,1.0774294706670764,34.78296975438802,-0.0014305932417835,-0.0013283810360204,1.081132116557172,1.072483883442828,SELL
2023-01-02 11:00:00,1,EUR/USD,1.07523,1.07523,1.07445,1.07489,3058,1.7,0.0003908903924725,1.0765345,,1.0761452734822312,1.0772989703785567,37.90244370158485,-0.0013738605713027,-0.0013374769430769,1.0806101814154212,1.0724588185845787,SELL
2023-01-02 12:00:00,1,EUR/USD,1.07575,1.07662,1.07531,1.07605,3856,1.8,0.0010791801951828,1.0763135,,1.0761359705244773,1.077235559229499,45.63671525517351,-0.0012212197545864,-0.0013142255053788,1.079969335198694,1.0726576648013058,HOLD
2023-01-02 13:00:00,1,EUR/USD,1.07707,1.07707,1.07613,1.0766,2991,1.6,0.000511128665025,1.0761995,,1.076181171793308,1.077203660014871,48.88731140092511,-0.0010438376930044,-0.0012601479429039,1.0796653590565704,1.0727336409434296,HOLD
2023-01-02 14:00:00,1,EUR/USD,1.07787,1.07798,1.07746,1.07763,2025,1.5,0.0009567155861045,1.0761455,,1.0763219967348596,1.0772248260527617,54.38775813515751,-0.0008108023149215,-0.0011702788173074,1.0794845506135744,1.0728064493864256,HOLD
2023-01-02 15:00:00,1,EUR/USD,1.0768,1.0774,1.0768,1.07737,3564,1.5,-0.0002412701947793,1.0760825,,1.0764236624360348,1.077231958948225,52.84190403580758,-0.0006397255678205,-0.00106416816741,1.0792760427036463,1.0728889572963538,HOLD
2023-01-02 16:00:00,1,EUR/USD,1.07652,1.07745,1.07652,1.07687,2084,1.5,-0.0004640931156426,1.0759915000000002,,1.0764668846360788,1.077214349307947,49.9043421853235,-0.0005382867993757,-0.0009589918938032,1.0789797789361124,1.073003221063888,HOLD
2023-01-02 17:00:00,1,EUR/USD,1.07804,1.07888,1.0766,1.0776,4511,2.0,0.0006778905531772,1.076,,1.0765764374441875,1.0772329362017343,53.93108663890121,-0.00039444404006,-0.0008460823230545,1.0790055149309248,1.0729944850690754,HOLD
2023-01-02 18:00:00,1,EUR/USD,1.07569,1.07569,1.07506,1.07542,2005,0.8,-0.0020230141054192,1.0758234999999998,,1.0764647910913483,1.0771463372870482,42.85322749670993,-0.0004511547666352,-0.0007670968117707,1.0785133496240518,1.073133650375948,HOLD
2023-01-02 19:00:00,1,EUR/USD,1.07518,1.07571,1.0744,1.07529,2542,1.1,-0.0001208830038496,1.0756715,,1.0763515206633425,1.077058417075635,42.29529676149604,-0.0005008152530789,-0.0007138405000323,1.078109386584731,1.073233613415269,HOLD
